idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
45,4731962.803279005,2267709.8550701654,2464252.9482088396,391615.85087215365,508.99817978162827,2.0866702998618814,3575.157153350731,1828.691682292374,711.3466232739416,2,0.6208806053819236,0.007521048593397465,1.398182191859433,0.2765335673645359,0.10601970234237432,6,6
46,5949727.242320342,3028251.7757383715,2921475.4665819705,492397.6779453842,496.33281146563377,1.9647399499566491,3033.7587810442024,5592.989955918804,2247.308307901186,2,0.7043971022028749,0.019928234875805823,2.128525420151892,0.9289305473972401,0.18067040379475074,6,6
47,2397365.5574200493,1024148.1966258725,1373217.3607941768,198405.26894464926,456.02088542891636,2.3408385283676103,1607.8002015851362,506.1828138945393,416.52637225039484,2,0.7626931616577743,0.018871910368010298,1.883534287212427,0.07395235194383631,0.18292030805827547,5,4
48,3617849.351189858,1549111.732421958,2068737.6187679,299412.1490159879,462.78073606633075,2.335434736869195,2756.4118294771424,560.5808829400759,226.36656774916162,2,0.7592134255739333,0.019814755540722657,4.398053525290395,0.01677279291857655,0.4293861504659132,6,5
49,1769546.2428834676,815467.7716897852,954078.4711936824,146447.12699014263,409.54803255648443,2.169976919157299,1115.4501746175622,703.5572140209508,214.6221256527528,2,0.6106453400470093,0.019960049373993673,4.840961166450156,0.25343672694684316,0.44414251247736825,6,5
50,2507731.2408344285,1042244.8622927167,1465486.3785417117,207539.10046747082,438.36641603932543,2.4060864500861667,1680.2446833183833,506.0343104879641,281.10521537629745,2,0.7652527244314061,0.03366416225955697,4.87814925090397,0.9196273995082738,0.1817453330539786,6,4
51,6800064.253688681,3815168.093426491,2984896.16026219,562771.3190915785,527.1770112529146,1.7823760545191039,3731.553718930002,6877.926980967226,3781.7438551906066,2,0.7493444838183808,0.0076888584402620055,4.615546467131572,0.27872170452680617,0.5604920850084188,6,5
52,2750374.030860043,1137602.2898306602,1612771.741029383,227620.14645710296,534.1119655993513,2.41769382449947,1867.750262136335,529.400659753867,305.99671280055753,2,0.634339387301744,0.007699644498333301,4.917519521272557,0.30720142739421663,0.5721145732515598,6,5
53,1891354.6029734928,829742.4216237682,1061612.1813497245,156527.95107162988,449.7573336060902,2.279447878863657,1223.431772007354,544.9459155803411,207.76558436031604,2,0.7579456552420752,0.01925669166339294,4.8464518077951375,0.2770651848612279,0.515375171345604,6,5
54,6028222.72543833,3055846.47616521,2972376.2492731204,498893.94105835084,515.4551643862831,1.9726850718636768,3046.6382821407583,5651.571451934588,2321.899563116274,2,0.7589747238580342,0.007736004382330238,4.65223030103428,0.9513720262890949,0.4946123922603639,6,6
